score	repo	issue	source	author	url	title	context
117	notnotmelon/factorissimo-2-notnotmelon	268	issue-body	abcnever	https://drive.google.com/file/d/1vjkxLhfwbmAmB_EA3MEdLSJ5PfK1JYzT/view?usp=sharing	This won't work here! This factory building is designed for Factory floor 1. Was instead Nauvis factory floor.	y other context about the problem here. I'm playing with space exploration + krastorio 2 if that helps. **Save file & log** Attach your save file and `factorio-current.log` file. the save is too big so i uploaded it to my google drive: https://drive.google.com/file/d/1vjkxLhfwbmAmB_EA3MEdLSJ5PfK1JYzT/view?usp=sharing [factorio-current.log](https://github.com/user-attachments/files/24868904/factorio-current.log) **Help wanted?** - [ ] I am familiar with programming and will submit a pull request to resolve this issue. (Note: Please do not use AI codin
117	pabienko/Exteros-QoL-System	2	comment-4132656551	TheEndless4	https://drive.google.com/file/d/1_ZdtAQ0Y1kDLnEfk22WLDbA60YlvMLCA/view?usp=drive_link	"[🔴UNFIXABLE🔴] Error ClientMultiplayerManager.cpp:86: MultiplayerManager failed: """" + multiplayer.script-event-mismatch + """	 other tests. 1) New save file in single and multiplayer wont crash. 2) Loading old save file without all mods exept your result in crash. We've send you actual log file already in prevous post so here i want to show the actual crash text. https://drive.google.com/file/d/1_ZdtAQ0Y1kDLnEfk22WLDbA60YlvMLCA/view?usp=drive_link
117	EarendelDevelopers/factorio-mods	392	issue-body	Tomiscout	https://drive.google.com/file/d/1nScbABVE1hugI9Oj5Li6XRotivrJuBsp/view?usp=drive_link	Migration to 0.7 migration crash and a workaround	e. ```lua --for _, player_in_remote_view in pairs(storage.players_in_remote_view) do for _, player_in_remote_view in pairs(storage.players_in_remote_view or {}) do ``` I've played fine for a day without any issues. Save file: https://drive.google.com/file/d/1nScbABVE1hugI9Oj5Li6XRotivrJuBsp/view?usp=drive_link
105	notnotmelon/factorissimo-2-notnotmelon	245	comment-3392751723	daz96050	https://drive.google.com/file/d/1BFktsFpRaH8N5IHgbbquS9YHyNXClQxr/view?usp=sharing	Can't exit factory after entering	https://drive.google.com/file/d/1BFktsFpRaH8N5IHgbbquS9YHyNXClQxr/view?usp=sharing
105	hgschmie/factorio-miniloader-redux	31	issue-body	phazor	https://drive.google.com/file/d/1Tin_CrL075mHPVhDVdZtFErzZb86Hxbo/view?usp=sharing	Issue running migration on Space Exploration save game	"ched off in the modlist. 4. Confirm ""Use the new space rail graphics"" mod setting is switched off. 5. Confirm that the 'migrate factorio 1.1 miniloaders' mod setting is switched on. 6. Load the SE 0.6.146 save without syncing mods/settings https://drive.google.com/file/d/1Tin_CrL075mHPVhDVdZtFErzZb86Hxbo/view?usp=sharing. ### Result ``` The mod Space Exploration (0.7.34) caused a non-recoverable error. Please report this error to the mod author. Error while running event space-exploration::on_configuration_changed LuaEntity API call when LuaEntity was i"
105	hgschmie/factorio-miniloader-redux	31	issue-body	phazor	https://drive.google.com/file/d/1gFuWk1QHVe4Jha4DD8eS57bzniwbyrn-/view?usp=sharing	Issue running migration on Space Exploration save game	"Migration with a Space Exploration save does no work when Miniloaders (Redux) factorio 1.1 migration setting is switched on. ### To reproduce 1. Have factorio 2.0. 2. Load this modlist save, and sync mods and settings https://drive.google.com/file/d/1gFuWk1QHVe4Jha4DD8eS57bzniwbyrn-/view?usp=sharing. 3. Confirm Quality and Space Age are switched off in the modlist. 4. Confirm ""Use the new space rail graphics"" mod setting is switched off. 5. Confirm that the 'migrate factorio 1.1 miniloaders' mod setting is switched on. 6. Load the SE 0"
105	izanbard/willsofwords	53	issue-body	rogerwills	https://drive.google.com/file/d/1Ek3UNHDLi1IimtQonwOLP_30wQnOxj_i/view?usp=drive_link	Word list alignment to search grid for single page puzzles noticed in manuscript	ere demonstrating the AI actually working for the first time (2nd Feb)... at least for me to see it! I noticed some word list alignment issues in the manuscript which I cannot seem to upload here so will save to Google Drive at this link: https://drive.google.com/file/d/1Ek3UNHDLi1IimtQonwOLP_30wQnOxj_i/view?usp=drive_link Puzzle 2 is an example of good formatting. The word list is nicely centred to the word grid and there's a proportionate amount of white space below the grid to get to the word list. Puzzle 3, the word list is offset from the grid and the
90	A-iCan/AiCan_2.0	216	comment-3477033210	teano-uTTu-9788	https://github.com/prometheus/pushgateway/releases/download/v1.6.2/pushgateway-1.6.2.darwin-amd64.tar.gz	BUS Protocol Loop: Automated Coordination, Evidence Monitoring, Scientific Summary	 → Pushgateway (9091) → Prometheus (9090) → Dashboard ``` **Why:** Agents can run independently, metrics centralized --- ### 🔧 STEP 1: Install Pushgateway (5 min) ```bash cd /Users/nguythe/DevAge/projects/AiCan_2.0 # Download curl -LO https://github.com/prometheus/pushgateway/releases/download/v1.6.2/pushgateway-1.6.2.darwin-amd64.tar.gz # Extract tar xzf pushgateway-1.6.2.darwin-amd64.tar.gz # Install sudo mv pushgateway-1.6.2.darwin-amd64/pushgateway /usr/local/bin/ # Verify pushgateway --version # Cleanup rm -rf pushgateway-1.6.2* ``` --- ### 🔧 STEP 2: Start Pushg
70	notnotmelon/factorissimo-2-notnotmelon	233	issue-body	CombatWombatt	https://github.com/user-attachments/files/22496180/factorio-current.-.Kopi.log	Error running event.	"y mods and then this happend. **Screenshots** See image **Uploaded Stuff** <img width=""436"" height=""300"" alt=""Image"" src=""https://github.com/user-attachments/assets/069e4398-0597-411f-8ca8-d7f78b60d610"" /> [factorio-current - Kopi.log](https://github.com/user-attachments/files/22496180/factorio-current.-.Kopi.log) [GAMER - Kopi.zip](https://github.com/user-attachments/files/22496190/GAMER.-.Kopi.zip) "
12	ClaudeMetz/FactoryPlanner	698	comment-4800158029	ClaudeMetz	https://drive.google.com/drive/folders/1JZErOFq7ibpk09dSeMV5BwPmG6xzhQNu	"inconsistent ""linearly dependent recipes"" detection"	Possibly a related case, discussed on the [Discord](https://discord.com/channels/600791114814980141/976543350796726302/1519658256321085575), save file [First K2SE Playthrough - Production Science Unlocked.zip](https://drive.google.com/drive/folders/1JZErOFq7ibpk09dSeMV5BwPmG6xzhQNu). This issue also shows that it would be nice if restricted items were shown as well in this error case.
